,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,tweet_counts,user_counts,gpt_label,manual_label,is_gt,label
5945,5668504,11170,retweet,6b8d71677ad0f64f5eef5996d27b0903ac974184d14bf7aa7f6cc427fe1893b0,"RT @zzzhizzzon Hindi deterrent and EDCA, kundi ANG MISMONG dahilan bakit nagiging mas aggressive ang China. It is not in the interest to avoid war. In fact, they want war, they’ll profit from war. Lockheed Martin, Raytheon, Boeing, Northrop Grumman, General Dynamics will all get $$$",,1682864070,Twitter,,aggressive ang ang avoid bakit boeing china dahilan deterrent dynamics edca fact general grumman hindi interest kundi ll lockheed martin mas mismong nagiging northrop profit raytheon rt war war war,30,14,40,opposing,,0,
5947,5633143,11170,retweet,836465151c529cd90445ffa87550f90503bb057207c2e4623f8689d7eba595fc,"RT @rapplerdotcom A group of Filipinos protest the arrival of Philippine president Ferdinand ""Bongbong"" Marcos Jr in the United States. Follow Rappler's coverage: https://t.co/UkjfsupSEB https://t.co/RFpBLwKhjF",,1682991360,Twitter,,arrival bongbong coverage ferdinand filipinos follow group jr marcos philippine president protest rappler rt states united,16,352,40,opposing,,0,
5948,857190,11170,retweet,47d5df0778effb11e420e258d493ad7e0bb465dc31e32aa2471ace59976c5061,"RT ŠLFHIPHUS Biden-Marcos Jr. reaffmaral defense, PH neocolonial statusieFS Press Release With 2, 2023 “Permanent is US military precision in the Philippines at the beginning of the American colonization period, but it has not done much to stem the expiration of China."" htps:/tcocco/49yLCX",,1683028640,Twitter,,49ylcx american beginning biden china colonization defense expiration htps jr marcos military neocolonial period permanent ph philippines precision press reaffmaral release rt statusiefs stem tcocco šlfhiphus,26,15,40,neutral,,0,
5954,2386376,11170,retweet,2daaef2d1c21daa9d73e7a88d523b40fc5d3bb6d70ea38a5d3136f2f75f51a08,"RT @IBONFoundation The United States has bilateral military agreements with 179 countries, 742 military bases in 82 countries and territories, and 171,736 active military personnel deployed in 177 countries and territories, aside from the 1.2 million stationed in the US itself. https://t.co/6SRJbyMgNc",,1683521416,Twitter,,171 736 active agreements bases bilateral countries countries countries deployed military military military million personnel rt states stationed territories territories united,21,23,40,opposing,,0,
5955,3637635,11170,retweet,d65b02e4ab79b8aaa2801083e42a56102434776510cc380c783fc481a4e8255c,"RT @YearoftheMonSy Because education is a weapon of conquest. By teaching Filipinos that the US is a friend to the Philippines, they pacified a people frustrated by the entry of another colonizer. If Spaniards used religion, Americans turned to education to colonize our minds >> #ArawngKalayaan",,1686604135,Twitter,,americans colonize colonizer conquest education education entry filipinos friend frustrated minds pacified people philippines religion rt spaniards teaching turned weapon,20,26,40,opposing,opposing,1,
5958,4341964,11170,retweet,4dfded1823bdf273f690dbdafc8bd4314e48ad6fca4a0e4ba03fd05ad04835fe,"RT @gabrielashelang Walk with pride? But we do not forget how Jennifer Laude was brutally killed by US Navy, also with different kind of injustices in our community that institutionalized VFA, EDCA and unequal treaties of US and the PH. Hindi kami nakakalimot. #JusticeForJenniferLaude",,1687038514,Twitter,,brutally community edca forget hindi injustices institutionalized jennifer kami killed kind laude nakakalimot navy ph pride rt treaties unequal vfa walk,21,78,40,opposing,opposing,1,
5973,2888436,2592,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673760536,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,824,11,neutral,opposing,1,
5976,2545895,2592,retweet,15fc4d0bb12ad79ac10785d282c0d03bd84a4fa602cd4f093e359c711f9b97ff,"RT @societyofhonor If China is interested in Filipino well-being, as implied in their criticism of EDCA bases (Filipinos will be drawn into conflict), why doesn't China simply withdraw from Philippine seas and explicitly recognize Filipino rights? Remove the reason for the EDCA bases.",,1678658279,Twitter,,bases bases china china conflict criticism drawn edca edca explicitly filipino filipino filipinos implied interested philippine reason recognize remove rights rt seas simply withdraw,24,16,11,supportive,supportive,1,
5981,5551155,2592,retweet,f2f163eea9046fbf89bf1a5f3c1be76ea73a1856216d0e4dfa7634bcddb5badc,"RT Ökosenenti Of those who say that “the US is more frightening because of EDCA, I just think that China already has a base on our islands for long efrere EDCA. So give you an award go to condemn the US, condemn China weth on the degree of hatred.",,1682835117,Twitter,,award base china china condemn condemn degree edca edca efrere frightening give hatred islands long rt weth ökosenenti,18,19,11,opposing,,0,
5983,2971364,2592,retweet,2219bf48f1e1dc5307a731ff72666aa1028c10d8a092ade27bac902d01d940ff,"RT Öjonny Nabud Nun: 4 US bases in Pinas (EDCA) are more hostile, when Leni is said to be able to pull us into China as it is in Ukraine! See BBM? 4 US bases in Pinas (EDCA)",,1685782263,Twitter,,bases bases bbm china edca edca hostile leni nabud nun pinas pinas pull rt ukraine öjonny,16,10,11,opposing,,0,
6007,1704030,489,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673757084,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,824,11,neutral,opposing,1,
6008,4711065,489,retweet,de9c46e2279bfd6dac6b490becf6011b96da994f3302807b8381f4a060389055,"RT @Richeydarian FACTS: The PHILIPPINES is now truly PIVOTAL to the future of TAIWAN! Under EDCA, key bases in northern philippinee will be central to all sorts of US-led exercises aimed at preparing for & DETERRING any China invasion plans..",,1675332208,Twitter,,aimed bases central china deterring edca exercises facts future invasion key led northern philippinee philippines pivotal plans preparing rt sorts taiwan,21,19,11,supportive,,0,
6010,5745927,489,retweet,2f6e87ebe4fc3f0b8955a86e0853cd7ffff04a992ceb6ae5856d0927e3326e9e,"RT @indiohistorian #TodayinHistory in 1906, the First Battle of Bud Dajo ended between the Tausug resistance & American troops, w/ the utter defeat & massacre of the said group of approx. 600 to 1000 men, women, & children. THREAD. #history #PH https://t.co/gSk7Kirws6",,1678174132,Twitter,,1906 american approx battle bud children dajo defeat ended group history massacre men resistance rt tausug thread troops utter women,20,36,11,neutral,,0,
6011,5165960,489,retweet,e2c3e14750e4ce45a1a4a566902d5e1ecffd5703f72089afea257b301fddcb31,RT @MonteroMax Interesting selection of facilities for EDCA. PH Air Force lacks a major airbase in Cagayan Valley and La-lo Airport aka Cagayan North Int'l Airport with EDCA development can fill that. Runway can accept C-17 and fighters. Wide spaces for new base & storage facilities. https://t.co/hprXPb2bxf,,1680630560,Twitter,,17 accept air airbase airport airport aka base cagayan cagayan development edca edca facilities facilities fighters fill force int interesting la lacks lo major north ph rt runway selection spaces storage valley wide,33,12,11,supportive,,0,
6013,5172123,489,retweet,77fdb358f04c4d4183ab95b46219741953040efb952850a2639a2194ab525f93,"RT @societyofhonor The critics of EDCA fall into two camps. (1) Those benefitting from doing business with China (sponsors of Pharmally and China Telecom, smugglers, and traders), and (2) Leftists. Neither camp has a plan for getting China out of the WPS or providing security for Filipinos.",,1681452837,Twitter,,benefitting business camp camps china china china critics edca fall filipinos leftists pharmally plan providing rt security smugglers sponsors telecom traders wps,22,16,11,supportive,supportive,1,
6017,4395016,489,retweet,57e75a306509919649b9dd34bc2498f27d02762f9ca8b990b31475b928291a68,"RT @FMangosingINQ PH military has started building a 3-km runway and a pier on Balabac Island, one of the four additional locations under the EDCA. These are not US-funded EDCA projects but financed by the 🇵🇭 government https://t.co/3aXl6Eblwd https://t.co/SGMDOMMlUo",,1684412677,Twitter,,additional balabac building edca edca financed funded government island km locations military ph pier projects rt runway started,18,39,11,supportive,,0,
6141,3563558,1245,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673760020,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,824,17,neutral,opposing,1,
6143,3184927,1245,retweet,9d0c3c4e2d1400db0d70e08e30d71b801e6e862b2cee0e8968ef81d8fc3869fb,RT @GabrielaWomenPL Gabriela Women's Party joins the mobilization against US military bases in the Philippines as US moves to expand EDCA locations in a DND meeting with US Defense Secretary Lloyd Austin today. #JunkEDCA #JunkVFA https://t.co/rFwj1qxxIv,,1675309889,Twitter,,austin bases defense dnd edca expand gabriela joins lloyd locations meeting military mobilization moves party philippines rt secretary today women,20,10,17,opposing,,0,
6144,2214478,1245,retweet,89560899b8b98dec33b528c96008901c542cd19cc95c7574160c3db60b0e975a,"RT @natoreyes The Philippine government should disclose the terms of the 9 agreed locations for US facilities in the Philippines. EDCA says that these facilities will be under the operational control of the US. There is no ""joint control"" here.",,1675513876,Twitter,,agreed control control disclose edca facilities facilities government joint locations operational philippine philippines rt terms,15,25,17,opposing,,0,
6145,6022334,1245,retweet,15ced3ad3c3f5eaf02e59dbb905d9340a51f239ca19bd1a0f6350265a40099d6,"RT @natoreyes There is no ""joint control"" or ""joint command"" of agreed locations under EDCA. The DND is deceiving the people. The Philippines in fact authorizes the US to use Philippine facilities for an array of activities, free of charge. No rent will be paid by the US. https://t.co/ecHLKpiAP7",,1675508899,Twitter,,activities agreed array authorizes charge command control deceiving dnd edca facilities fact free joint joint locations paid people philippine philippines rent rt,22,24,17,opposing,,0,
6146,2135786,1245,retweet,7de7eabb8676a667401f9039ddc2f73ec2973068d4c48e6b4cf3b09273fb4da0,RT @ABManhattan Kasamas and allies gathered at the U.S. Armed Forces recruitment center in Times Square to hold our National Day Of Action to condemn the expansion and war in Asia Pacific and to demand for U.S. troops out of the Philippines! #JunkVFA #JunkEDCA #USOUTOFPH #PassPHRA https://t.co/dag3wGbvQq,,1676249817,Twitter,,action allies armed asia center condemn day demand expansion forces gathered hold kasamas national pacific philippines recruitment rt square times troops war,22,43,17,opposing,,0,
6147,2738370,1245,retweet,ce13be5de1a1b29d1a55400c56b0255dc5466347c49d042ffd8fdb57333a01fd,"RT @GabrielaWomenPL INFOGRAPHIC: More than 12,000 US troops will participate in the 2023 Balikatan exercises, the biggest in history, as live-fire drills are set to be conducted in West PH Sea and near Taiwan Strait. This is a rehearsal for war which Filipinos clearly do not want #USTroopsOutNow https://t.co/jNumA0EmGt",,1680411179,Twitter,,000 12 balikatan biggest conducted drills exercises filipinos fire history infographic live participate ph rehearsal rt sea set strait taiwan troops war west,23,54,17,opposing,,0,
6148,6343356,1245,retweet,1b884f344f75e274609ca219fd1ec28a10a848569f5ec41be6f5c6be6c8b8e5c,"RT  wivesPilinascm ALTERT (thread) Aresto after peaceful action in the US Embassy against Balilog and EDCA. IMPERYALISM, OTHERSA! #NoTBangExcersices #USTroopsOutN hops:/tco/ClhKVLEf",,1681174892,Twitter,,action altert aresto balilog clhkvlef edca embassy hops imperyalism othersa peaceful rt tco thread wivespilinascm,15,16,17,opposing,,0,
6149,1987391,1245,retweet,7327d1b015efd91bca5f1a3b1c81b35f470915c689151dfe6392175dd43695cd,"RT @anakbayan_ph Anakbayan reiterates opposition to Balikatan and EDCA, calls for end to unequal US-PH relationship FOR IMMEDIATE RELEASE April 11, 2023 #USTroopsOutNow #NoToBalikatan #JunkEDCA https://t.co/pI9fY1jHyn",,1681181576,Twitter,,11 anakbayan april balikatan calls edca end opposition ph reiterates relationship release rt unequal,14,36,17,opposing,,0,
6150,6500460,1245,retweet,97ceff5db76f60a70a40b912460a515d9d97fc63a7f515c02d81ee7702de9b0e,"RT @JPropTarts Millions of Filipinos were literally slaughtered during the Amerikkkan occupation of the Philippines so I think badmouthing the US is okay especially when it comes to our sovereignty Also the US was an even bigger bully, but Viet Nam kicked them out just fine. :)",,1681215424,Twitter,,amerikkkan badmouthing bigger bully filipinos fine kicked literally millions nam occupation philippines rt slaughtered sovereignty viet,16,12,17,opposing,opposing,1,
6151,4204926,1245,retweet,ada60ea7ce6995d7cab5145b35aa4c3d9fd6d9bc84f9a6fe139506f2a9cd6292,RT @ReynaValmores WHAT IS THE BALIKATAN EXERCISE AND WHY MUST WE OPPOSE IT? Here are key reasons why we must call for an end to the US-RP Balikatan exercise and the lop-sided military agreements between the US and the Philippines A comprehensive thread 🧵 #USTroopsOutNow https://t.co/wEqth5gZaG,,1681265734,Twitter,,agreements balikatan balikatan call comprehensive end exercise exercise key lop military oppose philippines reasons rp rt sided thread,18,537,17,opposing,,0,
6152,1515156,1245,retweet,43877491ca87d99dc73822f94c44d0312f5e755a2b9806b1c05f6f5e46611707,"RT Šelepbblus Commonis at the Social Media Rally tonight 7PM! April 11, the wide line of youth and the League of Filino Students-UPLB rise up against the Babylonian Exercission and the VFA-EDCA treaty. You can use the caption below: typs/tco./FX5mmKT",,1681198900,Twitter,,11 7pm april babylonian caption commonis edca exercission filino fx5mmkt league line media rally rise rt social students tco tonight treaty typs uplb vfa wide youth šelepbblus,27,11,17,opposing,,0,
6153,466459,1245,retweet,e310293120550aa18af5588dbf770b4df1c3d007e6ff16099872946c28fe2d22,"RT @sison4olseasons WAG NA WAG SIYANG KAKALIMUTAN! VFA and EDCA, besides making our country a playground of imperialist military industrial complex, will lead to more cases like Jennifer Laude! REMEMBER! Scott Pemberton was in our country because of EDCA in 2014 #JunkVFA #JunkEDCA #YANKEEGOHOME https://t.co/4cTx6IxZ51",,1681204114,Twitter,,cases complex country country edca edca imperialist industrial jennifer kakalimutan laude lead making military na pemberton playground remember rt scott siyang vfa wag wag,24,37,17,opposing,,0,
6154,5982421,1245,retweet,2689d7f7abd8fb1bac9a57a64433c27dcee5ec426a078e496980ac4a6eab5e2c,"RT  Manueltaripnog  Brasil URGENT ALT April 12, 7:40PM, three vehicles that identified Agnes Mesina - Cagayan Valley Coordinator; Walter Villegas - Youngtylist CV Coordinorator and another after communications treatment of EDCA.tps:/tcog/P14Hpp",,1681358437,Twitter,,12 40pm agnes alt april brasil cagayan communications coordinator coordinorator cv edca identified manueltaripnog mesina p14hpp rt tcog tps treatment urgent valley vehicles villegas walter youngtylist,26,52,17,neutral,,0,
6155,2608609,1245,retweet,8f9f537283ae3655ee8e717c8fa2e46c31cf34d2355efa24b0309cefe55bf1e8,"RT  wivesunbutter NOT HAPAPHISM!!......... Reggie!IGHTAPHY Agnes Mesina and Walter Villegas was caught earlier in Gatran, Cagayan Valley after their communications consultations about EDCA. ACTIBISTAN OF ATERORIST! #HOCAptivists  Usps:/tcococX1hnS",,1681350163,Twitter,,actibistan agnes aterorist cagayan caught communications consultations earlier edca gatran hapaphism ightaphy mesina reggie rt tcococx1hns usps valley villegas walter wivesunbutter,21,21,17,opposing,,0,
6156,5040432,1245,retweet,5f13d0840c00c3659547a23f35075d728dd4317aa1481db20f6b348f4b9cd1d0,"RT @bahaynadilaw spain, america, japan, and britain should exempt filipinos from visa as compensation for colonizing us",,1682743630,Twitter,,america britain colonizing compensation exempt filipinos japan rt spain visa,10,1906,17,neutral,,0,
6157,3001828,1245,retweet,892913b3c792503a5f651da4ed0b51f42ae9dff5b0e3d9368ae6c6fdb708e88d,"RT öplcultive IMAGEs Perform protesting at the University of Pennsylvania Los Baños (UPLB) on the anniversary of Enhanced Defence Cooperation Agrement (EDCA) and on the last day of Baitian Exercises at Humeps, April 28. #USTopnotnow typs:/tco/FTqkqISqk",,1682827990,Twitter,,28 agrement anniversary april baitian baños cooperation day defence edca enhanced exercises ftqkqisqk humeps images los pennsylvania perform protesting rt tco typs university uplb öplcultive,25,16,17,opposing,,0,
6163,3410342,87188,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673825936,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,824,8,neutral,opposing,1,
6164,4231842,87188,retweet,d63821a2e79bf8d8a0c66938083df721c672c40c55bc977fa9bda2bcb1979a0d,RT @ABSCBNNews JUST IN: Members of the Makabayan Bloc have called on the House of Representatives to seek the termination of the country's mutual defense treaty with the United States following the visit of US Secretary of Defense Lloyd Austin. | via @RG_Cruz12479 https://t.co/UTfoA5nxkH,,1675730917,Twitter,,austin bloc called country defense defense house lloyd makabayan members mutual representatives rt secretary seek states termination treaty united visit,20,15,8,opposing,,0,
6165,7169210,87188,retweet,c7e6fdf68e90dadb53cc68e6529a5141921afaf315f279668d5fe3ee00be369e,STAND UP Cirperson Gabriel Stand! A violation of our right to free press has been arrested for the arrest of those who performed the lightning rally in the US Embasssy to protest EDCA and Barbian Excierses!,,1681202097,Twitter,,arrest arrested barbian cirperson edca embasssy excierses free gabriel lightning performed press protest rally stand stand violation,17,55,8,opposing,,0,
6166,458780,87188,retweet,4d72819c733be1e915bf69beedf403012c5de3846ea4d2964ebabe4495d27779,RT  Manueltaripnog Update: Around 1:30AM is named Agnes Mesina and Walter Villegas after taking off the PNP L-lo. The call remains: JUNK EDCA! HTtps:/tco/VmaVSuHovo,,1681359342,Twitter,,30am agnes call edca junk lo manueltaripnog mesina named pnp remains rt taking update villegas walter,16,21,8,opposing,opposing,1,
6167,5264818,87188,retweet,a321d427adac19d51e4ab68184173264ab4ff723d8973d876121f7b5189ce97d,RT @Exiandro EDCA and other military agreements far from perfect? Now that is an understatement. These military agreements are displacing local communities and putting the country at risk of being dragged into geopolitical conflict with China. Condemn BOTH! Go on. Condemn both of them!,,1681680288,Twitter,,agreements agreements china communities condemn condemn conflict country displacing dragged edca geopolitical local military military perfect putting risk rt understatement,20,12,8,opposing,,0,
6168,3196690,87188,retweet,2dd28aa375c7d22c6d2461e867a04179560adf833118337798d52d372ca6dbda,RT ☞ggggg with the thickness of the faces of some here tell us Cagano people who have been taken for money or bobo just because we're opposed to EDCA. I'm from Lal-lo International Airport a EDCA site. If you know how scared people are now kwing-++++++.,,1681897448,Twitter,,airport bobo cagano edca edca faces ggggg international kwing lal lo money opposed people people rt scared site thickness,19,37,8,opposing,,0,
6169,3978668,87188,retweet,702985f0feb71dde5dad261fc6c23143695dac9e9eb8b424871dac781a6295cb,"RT @arpakph Dumadagundong ang sigaw para sa dagdag-sahod, kontra-EDCA! Magmartsa sa Mayo Uno! Marcos Jr., hindi nakabubuhay ang mga bomba’t sahod na barat! Sa unang Mayo Uno sa ilalim ng rehimeng Marcos Jr., hamon sa ating patampukin ng panawagan para sa kagyat na pambansang dagdag sahod. https://t.co/xhjj70YyUI",,1682896562,Twitter,,ang ang ating barat bomba dagdag dagdag dumadagundong edca hamon hindi ilalim jr jr kagyat kontra magmartsa marcos marcos mayo mayo mga na na nakabubuhay ng ng pambansang panawagan para para patampukin rehimeng rt sa sa sa sa sa sa sahod sahod sahod sigaw unang uno uno,47,58,8,opposing,,0,
6170,4338110,87188,retweet,18ce2961d1d313aa3fd326905a88f5362087edbe30693ef9c912aa76bdf013ad,RT @anakbayan_ph Statement of Anakbayan National Chairperson Jeann Miranda in response to US President Biden welcoming Marcos Jr. into the US and engaging in bilateral talks. #GhostInMalacanang #USTroopsOutNow #JunkEDCA https://t.co/GyDR3Y94RT,,1683028047,Twitter,,anakbayan biden bilateral chairperson engaging jeann jr marcos miranda national president response rt statement talks welcoming,16,24,8,opposing,,0,
6259,4561499,128882,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673778115,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,824,6,neutral,opposing,1,
6260,3473640,128882,retweet,a12ed3f1b62f33836b4dc0e1d57e6a4559e54d6428a92056cca933323c00d006,"RT News5PH pointedly, Sen. Risa Hontiveros said that it was shameful for Chinese Ambassador Xilian to express the possible feeling of fellow migrant workers in Taiwan if the Philippines would continue to allow America to build an additional EDCA sites. #5 hatps:/tco./JlrUnd4Gn",,1681704795,Twitter,,additional ambassador america build chinese continue edca express feeling fellow hatps hontiveros jlrund4gn migrant news5ph philippines pointedly risa rt sen shameful sites taiwan tco workers xilian,26,183,6,opposing,,0,
6262,343650,128882,retweet,abe167e1d8b2eb48a8750e4bd115d16653479c67a5e77fafdf9f4faf117b105e,"RT @MangingisdaSays I hope Kakampinks who criticize them in the replies section understand the issue first. Two EDCA sites will be in Cagayan, which could endanger residents in the friction between US & China. We must not let ourselves be dragged into the inter-imperialist war between US & China!",,1681869736,Twitter,,cagayan china china criticize dragged edca endanger friction hope imperialist inter issue kakampinks replies residents rt section sites understand war,20,118,6,opposing,,0,
6294,4165374,109003,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673793909,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,824,5,neutral,opposing,1,
6297,3410442,109003,retweet,7327d1b015efd91bca5f1a3b1c81b35f470915c689151dfe6392175dd43695cd,"RT @anakbayan_ph Anakbayan reiterates opposition to Balikatan and EDCA, calls for end to unequal US-PH relationship FOR IMMEDIATE RELEASE April 11, 2023 #USTroopsOutNow #NoToBalikatan #JunkEDCA https://t.co/pI9fY1jHyn",,1681192692,Twitter,,11 anakbayan april balikatan calls edca end opposition ph reiterates relationship release rt unequal,14,36,5,opposing,,0,
6298,1932066,109003,retweet,d2716a83e470bf5ee09595091b87445baf724429b5ac711bcfe1c8fc34c73e33,"RT @altermidya LOOK: Members of the Filipino community in Washington led by Bayan USA, Malaya Movement, and ICHRP protested in front of Fiola Mare, a fine dining establishment in the high-end Georgetown neighborhood, where Marcos, Jr. and his cabinet dined with Filipino Tycoons. https://t.co/doVBP9x14Y",,1683080818,Twitter,,bayan cabinet community dined dining end establishment filipino filipino fine fiola front georgetown high ichrp jr led malaya marcos mare members movement neighborhood protested rt tycoons usa washington,28,133,5,opposing,opposing,1,
6305,4259073,15827,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673767853,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,824,6,neutral,opposing,1,
6306,6827031,15827,retweet,8c995002f5715dee65a2092df26f7d49181155b095ba6b4631303f1976afcfc1,RT Salt AbandRemeity Thils is the governor hat denied there is black on the sand minigayan while I see you in the human town dredger English marks. Hewas also fostering economic tis between Cagayan and China. So you know why EDCA is not like.,,1681405360,Twitter,,abandremeity black cagayan china denied dredger economic edca english fostering governor hat hewas human marks minigayan rt salt sand thils tis town,22,55,6,opposing,opposing,1,
6308,1858104,15827,retweet,cc9fd5fa15c13ecc2fc331626fca92014a0c45fa0da91685a487cac5bf58bf29,"RT @justinmaniluh Basically, Sass is making us think that Duterte was helpless and didn’t have a choice but to proceed with EDCA. Let me run the timeline of events for you: February 7, 2020: FPPRD ordered formal termination of VFA, triggering the 180 days or 6 months needed to fully terminate… https://t.co/t73I5AmppG",,1681844746,Twitter,,2020 basically choice days didn duterte edca events february formal fpprd fully helpless making months needed ordered proceed rt run sass terminate termination timeline triggering vfa,26,184,6,opposing,,0,
6309,2367891,15827,retweet,30b85e402082b8f612282d8803eb086d647f0ef1fe3b6546b418ce149fce7847,"RT @GordianKnotRay U.S. Support for the Philippines in the South China Sea PRESS STATEMENT OFFICE OF THE SPOKESPERSON APRIL 29, 2023 The United States stands with The #Philippines in the face of the People’s Republic of #China (PRC) Coast Guard’s continued infringement upon freedom of navigation…",,1682826614,Twitter,,29 april china china coast continued face freedom guard infringement navigation office people philippines prc press republic rt sea south spokesperson stands statement states support united,26,78,6,supportive,,0,
6310,15828,15827,retweet,836465151c529cd90445ffa87550f90503bb057207c2e4623f8689d7eba595fc,"RT @rapplerdotcom A group of Filipinos protest the arrival of Philippine president Ferdinand ""Bongbong"" Marcos Jr in the United States. Follow Rappler's coverage: https://t.co/UkjfsupSEB https://t.co/RFpBLwKhjF",,1683012829,Twitter,,arrival bongbong coverage ferdinand filipinos follow group jr marcos philippine president protest rappler rt states united,16,352,6,opposing,,0,
6335,4682285,5958,retweet,656036a6d0f199a52b84aee85ddefffe01e3500afcf4187e0ca1b232610c7ba1,"RT @IanMakabayan Notice how Malacañang secretly missed out the 70 delegation of Marcos to Switzerland. No PR about this in any media, even state-owned Big economies like India and the US have only anywhere between 7-15 delegation. Bakit 70 ang sa Pilipinas at bakit may kasamang artista?",,1673767027,Twitter,,15 ang artista bakit bakit big delegation delegation economies india kasamang malacañang marcos media missed notice owned pilipinas pr rt sa secretly state switzerland,24,824,46,neutral,opposing,1,
6336,6213315,5958,retweet,95f83d00532bfb331843ff10475f37d9be1fc604d8c5338dc682ffdcda80daaf,RT @natoreyes Why we object to the EDCA? 1. It is an affront to our sovereignty 2. It will mean the return of US bases 3. US will be allowed to use our facilities rent-free and with tax exemptions 4. It allows prepositioning of US weapons 5. It will pave way for stay of US troops,,1674973713,Twitter,,affront allowed bases edca exemptions facilities free object pave prepositioning rent return rt sovereignty stay tax troops weapons,18,21,46,opposing,,0,
6337,3188404,5958,retweet,89f106be285087446982c48d103751d7c758257cc7942df886d6f82995144265,"RT @altermidya Groups held a protest at Camp Aguinaldo, Quezon City earlier today, in time for US Defense Secretary Lloyd J. Austin III's visit to the Philippines. The visit, according to the protesters, seeks to expedite military agreements with US. 📸 John Carlo Magallon/Altermidya https://t.co/mRxA2QoB82",,1675321258,Twitter,,agreements aguinaldo altermidya austin camp carlo city defense earlier expedite groups held iii john lloyd magallon military philippines protest protesters quezon rt secretary seeks time today visit visit,28,19,46,opposing,,0,
6345,4314275,5958,retweet,4722b3786f6f949a3246a1e87d54a24ec766ff9c6cbbb333e72ecb20e73d6a31,"RT @LFSPhilippines More than 3,000 Filipino and American troops are currently participating in the “Salaknib” military exercises). The 3-week long Salaknib also heralds the US-PH Balikatan this coming April--the largest in history with 12,000 US troops. #USTroopsOutNow #NoToWarsOfAggression https://t.co/lZrUwTmj0e",,1678884577,Twitter,,000 000 12 american april balikatan coming exercises filipino heralds history largest long military participating ph rt salaknib salaknib troops troops week,22,13,46,opposing,opposing,1,
